,_id,user_id,action,date,session_id
81,6720fbc2c7331b3b937d75ac,2nrtphn925e,Click on MES_Agosto button,2024-10-29T15:14:09.479Z,
82,6720fbc3c7331b3b937d75ad,2nrtphn925e,Click on MES_Mayo button,2024-10-29T15:14:11.050Z,
83,6720fbc4c7331b3b937d75ae,2nrtphn925e,Click on MES_Abril button,2024-10-29T15:14:12.162Z,
84,6720fbc6c7331b3b937d75af,2nrtphn925e,Click on MES_Julio button,2024-10-29T15:14:13.946Z,
85,6720fbc7c7331b3b937d75b0,2nrtphn925e,Click on MES_Junio button,2024-10-29T15:14:14.944Z,
86,672101fdd3644034047420e3,vkzz31h5ng8,Click on MENU_Actas del Concejo de Quito,2024-10-29T15:40:42.966Z,
87,672101fed3644034047420e4,vkzz31h5ng8,Click on MES_Agosto button,2024-10-29T15:40:46.606Z,
88,67210201d3644034047420e5,vkzz31h5ng8,Click on MES_Mayo button,2024-10-29T15:40:48.734Z,
89,67210202d3644034047420e6,vkzz31h5ng8,Click on MES_Agosto button,2024-10-29T15:40:50.558Z,
90,67210204d3644034047420e7,vkzz31h5ng8,Click on MES_Julio button,2024-10-29T15:40:51.780Z,
91,67210207d3644034047420e8,vkzz31h5ng8,Click on MES_Enero button,2024-10-29T15:40:54.706Z,
92,6721020ad3644034047420e9,vkzz31h5ng8,Click on MES_Enero button,2024-10-29T15:40:58.602Z,
93,6721022ad90551a18720b29f,j9le4p72c2g,Click on MENU_Actas del Concejo de Quito,2024-10-29T15:41:29.879Z,
94,6721022bd90551a18720b2a0,j9le4p72c2g,Click on MES_Agosto button,2024-10-29T15:41:31.379Z,
95,6721022cd90551a18720b2a1,j9le4p72c2g,Click on MES_Agosto button,2024-10-29T15:41:32.283Z,
96,6721023f38aceebcefdf98d9,,Click on MENU_Actas del Concejo de Quito,2024-10-29T15:41:49.811Z,0d4f8akv8q18
97,6721024038aceebcefdf98da,,Click on MES_Agosto button,2024-10-29T15:41:52.373Z,0d4f8akv8q18
98,6721029138aceebcefdf98dd,,Click on MES_Agosto button,2024-10-29T15:43:10.667Z,0d4f8akv8q18
99,6721029138aceebcefdf98de,,Click on MES_Enero button,2024-10-29T15:43:12.817Z,0d4f8akv8q18
100,6721029438aceebcefdf98df,,Click on RESUMEN_acta_045,2024-10-29T15:43:16.635Z,0d4f8akv8q18
101,67212f7286031da7b63432bb,vkzz31h5ng8,Click on MENU_Actas del Concejo de Quito,2024-10-29T18:54:40.818Z,
102,67212f7786031da7b63432bc,vkzz31h5ng8,Click on MES_Enero button,2024-10-29T18:54:47.367Z,
103,67212f7f86031da7b63432bd,vkzz31h5ng8,Click on RESUMEN_acta_045,2024-10-29T18:54:55.186Z,
104,6721fbe9d99f1b22551d184b,vkzz31h5ng8,Click on MENU_Actas del Concejo de Quito,2024-10-30T09:27:03.284Z,
105,6721fbead99f1b22551d184c,vkzz31h5ng8,Click on MES_Enero button,2024-10-30T09:27:06.419Z,
106,6721fbeed99f1b22551d184d,vkzz31h5ng8,Click on RESUMEN_acta_045,2024-10-30T09:27:09.691Z,
107,6721ff0aa51ab3f701afc9fd,,Click on MENU_Actas del Concejo de Quito,2024-10-30T09:40:17.360Z,0d4f8akv8q18
108,6721ff0aa51ab3f701afc9fe,,Click on MENU_Actas del Concejo de Quito,2024-10-30T09:40:21.287Z,0d4f8akv8q18
109,6721ff0ea51ab3f701afc9ff,,Click on MES_Enero button,2024-10-30T09:40:30.358Z,0d4f8akv8q18
110,6721ff1fa51ab3f701afca01,,Click on RESUMEN_acta_045,2024-10-30T09:40:41.682Z,0d4f8akv8q18
111,6722088aa51ab3f701afca02,,Click on MES_Enero button,2024-10-30T10:20:58.309Z,0d4f8akv8q18
112,6722088ba51ab3f701afca03,,Click on RESUMEN_acta_045,2024-10-30T10:20:59.742Z,0d4f8akv8q18
113,6722090da51ab3f701afca05,,Click on MENU_Actas del Concejo de Quito,2024-10-30T10:23:06.755Z,0d4f8akv8q18
114,6722090ea51ab3f701afca06,,Click on MES_Enero button,2024-10-30T10:23:10.353Z,0d4f8akv8q18
115,6722090fa51ab3f701afca07,,Click on RESUMEN_acta_045,2024-10-30T10:23:11.239Z,0d4f8akv8q18
116,67220aeea51ab3f701afca08,,Click on MES_Enero button,2024-10-30T10:31:10.855Z,0d4f8akv8q18
117,67220af1a51ab3f701afca09,,Click on RESUMEN_acta_045,2024-10-30T10:31:13.469Z,0d4f8akv8q18
118,67220af7a51ab3f701afca0a,,Click on MES_Enero button,2024-10-30T10:31:19.801Z,0d4f8akv8q18
119,67220af8a51ab3f701afca0b,,Click on RESUMEN_acta_045,2024-10-30T10:31:20.664Z,0d4f8akv8q18
120,67220b10a51ab3f701afca0c,,Click on MENU_Actas del Concejo de Quito,2024-10-30T10:31:44.426Z,0d4f8akv8q18
121,67220b11a51ab3f701afca0d,,Click on MES_Enero button,2024-10-30T10:31:45.647Z,0d4f8akv8q18
122,67220b12a51ab3f701afca0e,,Click on RESUMEN_acta_045,2024-10-30T10:31:46.263Z,0d4f8akv8q18
123,67220b1ea51ab3f701afca0f,,Click on MES_Enero button,2024-10-30T10:31:58.698Z,0d4f8akv8q18
124,67220b1fa51ab3f701afca10,,Click on RESUMEN_acta_045,2024-10-30T10:31:59.503Z,0d4f8akv8q18
125,672231b69457369051baa5ab,,Click on MENU_Actas del Concejo de Quito,2024-10-30T13:16:35.995Z,vilmpewth9
126,672231b706c21207cadc6b94,,Click on MES_Enero button,2024-10-30T13:16:39.040Z,vilmpewth9
127,672231b806c21207cadc6b95,,Click on RESUMEN_acta_045,2024-10-30T13:16:40.157Z,vilmpewth9
128,672231c306c21207cadc6b96,,Click on MES_Enero button,2024-10-30T13:16:50.997Z,vilmpewth9
129,672231c406c21207cadc6b97,,Click on RESUMEN_acta_045,2024-10-30T13:16:51.776Z,vilmpewth9
130,672231d59dd3034f84eeb9a3,,Click on MES_Enero button,2024-10-30T13:17:08.534Z,vilmpewth9
131,672231d59dd3034f84eeb9a4,,Click on RESUMEN_acta_045,2024-10-30T13:17:09.140Z,vilmpewth9
132,67223528c74842b71a528f67,,Click on MENU_Actas del Concejo de Quito,2024-10-30T13:31:18.258Z,vilmpewth9
133,67223553c74842b71a528f68,,Click on MENU_Actas del Concejo de Quito,2024-10-30T13:32:02.332Z,vilmpewth9
134,67223554c74842b71a528f69,,Click on MES_Enero button,2024-10-30T13:32:03.523Z,vilmpewth9
135,6722355825f4b7c234170802,,Click on RESUMEN_acta_045,2024-10-30T13:32:05.681Z,vilmpewth9
136,67223854a67c6c8abdcb5b2d,,Click on MENU_Actas del Concejo de Quito,2024-10-30T13:44:49.990Z,vilmpewth9
137,67223855a67c6c8abdcb5b2e,,Click on MES_Enero button,2024-10-30T13:44:52.977Z,vilmpewth9
138,67223857a67c6c8abdcb5b2f,,Click on RESUMEN_acta_046,2024-10-30T13:44:54.464Z,vilmpewth9
139,67223cc05767c52c85b5af39,,Click on MES_Enero button,2024-10-30T14:03:44.076Z,vilmpewth9
140,67223cc15767c52c85b5af3a,,Click on RESUMEN_acta_046,2024-10-30T14:03:44.700Z,vilmpewth9
141,67223ff77f516cea8bff5fef,,Click on MENU_Actas del Concejo de Quito,2024-10-30T14:17:24.623Z,vilmpewth9
142,67223ff97f516cea8bff5ff0,,Click on MES_Marzo button,2024-10-30T14:17:28.465Z,vilmpewth9
143,67223ffd7f516cea8bff5ff1,,Click on MES_Marzo button,2024-10-30T14:17:33.216Z,vilmpewth9
144,67223ffe7f516cea8bff5ff2,,Click on MES_Febrero button,2024-10-30T14:17:34.191Z,vilmpewth9
145,672240007f516cea8bff5ff3,,Click on MES_Enero button,2024-10-30T14:17:35.389Z,vilmpewth9
146,672240017f516cea8bff5ff4,,Click on MES_Febrero button,2024-10-30T14:17:36.469Z,vilmpewth9
147,672240017f516cea8bff5ff5,,Click on MES_Marzo button,2024-10-30T14:17:36.965Z,vilmpewth9
148,672240077f516cea8bff5ff6,,Click on RESUMEN_acta_051,2024-10-30T14:17:42.748Z,vilmpewth9
149,67228cbecc96a9ae657b78ed,,Click on LEER_ resúmenes,2024-10-30T19:45:00.178Z,oalo2j1t4cb
150,67228cc0cc96a9ae657b78ee,,Click on MES_Enero button,2024-10-30T19:45:05.158Z,oalo2j1t4cb
151,67228cc2cc96a9ae657b78ef,,Click on RESUMEN_acta_045,2024-10-30T19:45:06.677Z,oalo2j1t4cb
152,67228cca6e123655b35977f8,,Click on PDF_acta_045,2024-10-30T19:45:15.158Z,oalo2j1t4cb
153,67228e676e123655b35977f9,,Click on LEER_ resúmenes,2024-10-30T19:52:09.473Z,t570865sqg
154,67228e6a6e123655b35977fa,,Click on MES_Enero button,2024-10-30T19:52:11.363Z,t570865sqg
155,67228e6b6e123655b35977fb,,Click on MES_Febrero button,2024-10-30T19:52:13.691Z,t570865sqg
156,67228e6d6e123655b35977fc,,Click on MES_Marzo button,2024-10-30T19:52:15.592Z,t570865sqg
157,67228e706e123655b35977fd,,Click on MES_Abril button,2024-10-30T19:52:18.832Z,t570865sqg
158,67228e746e123655b35977fe,,Click on MES_Mayo button,2024-10-30T19:52:22.547Z,t570865sqg
159,67228e776e123655b35977ff,,Click on MES_Junio button,2024-10-30T19:52:25.447Z,t570865sqg
160,67228e7a6e123655b3597800,,Click on MES_Julio button,2024-10-30T19:52:28.348Z,t570865sqg
161,67228e7b6e123655b3597801,,Click on MES_Agosto button,2024-10-30T19:52:29.755Z,t570865sqg
162,67228e7e6e123655b3597802,,Click on MES_Septiembre button,2024-10-30T19:52:32.657Z,t570865sqg
163,67228eec6e123655b3597803,,Click on MES_Agosto button,2024-10-30T19:54:23.008Z,t570865sqg
164,67228ef16e123655b3597804,,Click on MES_Abril button,2024-10-30T19:54:27.152Z,t570865sqg
165,67228ef56e123655b3597805,,Click on MES_Marzo button,2024-10-30T19:54:31.370Z,t570865sqg
166,67228f116e123655b3597806,,Click on LEER_ resúmenes,2024-10-30T19:54:57.616Z,oalo2j1t4cb
